day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,191536,0.026420,0.095914,0.377856,0.550534,0.000000,0.000000,0.014681,0.000021,0.056736,0.000172,0.292353
1,93152,0.009669,0.231847,0.386218,0.502179,0.000000,0.000000,0.024337,0.000150,0.086547,0.000569,0.273133
2,77072,0.007937,0.244382,0.429767,0.452473,0.000000,0.000000,0.031996,0.000272,0.084687,0.000804,0.278689
3,70420,0.007549,0.258293,0.424936,0.451832,0.000014,0.000000,0.029906,0.000170,0.092204,0.000937,0.268597
4,67010,0.006757,0.248858,0.424489,0.454634,0.000000,0.000000,0.031160,0.000224,0.089211,0.000284,0.267481
5,65211,0.006386,0.259833,0.424162,0.450675,0.000000,0.000000,0.036911,0.000261,0.087501,0.000491,0.275149
6,64328,0.006241,0.252518,0.401163,0.470137,0.000000,0.000000,0.038288,0.000187,0.089976,0.000249,0.271942
7,60792,0.005641,0.275694,0.411748,0.466772,0.000000,0.000000,0.030530,0.000543,0.089485,0.000921,0.286029
8,61426,0.005389,0.264448,0.400563,0.464950,0.000000,0.000000,0.034546,0.001156,0.097662,0.001123,0.274046
9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
