day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,36999,10000,3.699900,-0.105811,0.379831,42,0.004526,2.839136
1,19305,8285,2.330115,-0.361455,0.184547,163,0.010622,2.838838
2,14734,6968,2.114524,-0.305481,0.109970,297,0.016355,2.840292
3,13420,6639,2.021389,-0.290361,0.073064,445,0.022241,2.842976
4,12489,6335,1.971429,-0.293523,0.052975,576,0.028521,2.846288
5,11908,6169,1.930297,-0.295086,0.040436,686,0.035002,2.850061
6,11622,6003,1.936032,-0.278518,0.031996,825,0.041786,2.854142
7,11602,6079,1.908538,-0.275800,0.025548,961,0.049068,2.858524
8,11241,5904,1.903963,-0.264789,0.021791,1093,0.056358,2.863077
9,0,0,0.000000,0.000000,0.021791,1093,0.056358,2.863077
