metric,random,popularity,exact_vector
mean_true_affinity,0.04507282359409091,0.05355217389761717,0.10581619860942021
reward_per_impression,-0.024934603359125614,0.015335445581003805,0.019882264593260042
reward_per_session,-0.36358418429754463,0.224925866544497,0.2894070537592437
mean_watch_ratio,0.30246223093548297,0.35689252802738775,0.34874596734630237
mean_watch_seconds,11.598600857928002,8.48879687806517,16.60921288873991
completion_rate,0.2681,0.3246,0.30996
instant_skip_rate,0.60816,0.55466,0.5706
like_rate,0.05028,0.05904,0.06002
share_rate,0.0188,0.0218,0.02202
follow_rate,0.00708,0.00806,0.00838
mean_session_length,14.581510644502771,14.667057788207686,14.55604075691412
oracle_mean_regret,0.7016966458763695,0.6920954363826558,0.6452844626273538
oracle_cumulative_regret,883.4360771583492,871.3481544057637,812.4131384478385
oracle_sampled_requests,1259,1259,1259
oracle_sample_rate,0.25,0.25,0.25
