round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.105987,0.247654
1,20,0.134241,0.261313
2,30,0.166314,0.269728
3,40,0.177174,0.280220
4,50,0.183197,0.291125
5,60,0.190447,0.301399
6,70,0.197752,0.310466
7,80,0.202393,0.318472
8,90,0.208029,0.327134
9,100,0.214286,0.335832
10,110,0.210013,0.340530
11,120,0.222520,0.348655
12,130,0.229873,0.358485
13,140,0.237747,0.367317
14,150,0.239760,0.377526
15,160,0.249683,0.386525
16,170,0.261931,0.395620
17,180,0.265795,0.403011
18,190,0.266842,0.412299
19,200,0.276367,0.420171
