round,injected_impressions,injected_impressions_cum,distinct_injected_exposed_cum,share_of_round_impressions
0,0,0,0,0.000000
1,0,0,0,0.000000
2,0,0,0,0.000000
3,0,0,0,0.000000
4,0,0,0,0.000000
5,0,0,0,0.000000
6,0,0,0,0.000000
7,0,0,0,0.000000
8,0,0,0,0.000000
9,0,0,0,0.000000
10,52241,52241,1219,0.497533
11,6671,58912,1237,0.063533
12,5308,64220,1250,0.050552
13,5085,69305,1266,0.048429
14,5382,74687,1288,0.051257
15,4115,78802,1309,0.039190
16,3892,82694,1331,0.037067
17,3591,86285,1343,0.034200
18,3367,89652,1353,0.032067
19,2912,92564,1367,0.027733
