round,sampled_requests,mean_regret,cumulative_regret
0,196,0.689325,135.107745
1,212,0.622514,267.080755
2,205,0.591999,388.440649
3,199,0.567699,501.412769
4,203,0.576697,618.482339
5,185,0.583715,726.469667
6,186,0.549330,828.644969
7,209,0.527363,938.863746
8,208,0.560733,1055.496261
9,186,0.536196,1155.228679
10,189,0.520967,1253.691516
11,197,0.517904,1355.718573
12,196,0.497789,1453.285229
13,205,0.492168,1554.179640
14,193,0.487085,1648.187038
15,226,0.479658,1756.589742
16,215,0.486640,1861.217278
17,219,0.461594,1962.306328
18,205,0.487024,2062.146160
19,211,0.460899,2159.395786
