impression_index,users_at_index,mean_reward,mean_regret
0,500,0.096644,0.680624
1,500,0.131263,0.680624
2,500,0.115314,0.680624
3,500,0.092583,0.680624
4,500,0.080791,0.680624
5,500,0.078229,0.680624
6,500,0.120170,0.680624
7,500,0.146881,0.680624
8,500,0.103788,0.680624
9,500,0.099384,0.680624
10,500,0.127816,0.629139
11,500,0.128864,0.629139
12,500,0.132702,0.629139
13,500,0.143912,0.629139
14,500,0.131906,0.629139
15,500,0.138874,0.629139
16,500,0.145356,0.629139
17,500,0.118264,0.629139
18,500,0.126742,0.629139
19,500,0.084884,0.629139
20,500,0.170673,0.601726
21,500,0.189705,0.601726
22,500,0.177574,0.601726
23,500,0.188840,0.601726
24,500,0.142751,0.601726
25,500,0.150342,0.601726
26,500,0.171524,0.601726
27,500,0.173822,0.601726
28,500,0.134118,0.601726
29,500,0.142315,0.601726
30,500,0.186612,0.589554
31,500,0.170637,0.589554
32,500,0.169549,0.589554
33,500,0.172682,0.589554
34,500,0.162389,0.589554
35,500,0.187763,0.589554
36,500,0.149945,0.589554
37,500,0.148799,0.589554
38,500,0.186498,0.589554
39,500,0.193037,0.589554
40,500,0.209765,0.566373
41,500,0.206100,0.566373
42,500,0.195425,0.566373
43,500,0.251778,0.566373
44,500,0.178082,0.566373
45,500,0.166355,0.566373
46,500,0.188077,0.566373
47,500,0.170082,0.566373
48,500,0.163987,0.566373
49,500,0.184717,0.566373
50,500,0.165395,0.563803
51,500,0.180447,0.563803
52,500,0.195345,0.563803
53,500,0.199885,0.563803
54,500,0.186060,0.563803
55,500,0.169823,0.563803
56,500,0.190979,0.563803
57,500,0.174100,0.563803
58,500,0.188460,0.563803
59,500,0.197279,0.563803
60,500,0.185680,0.558221
61,500,0.186200,0.558221
62,500,0.198318,0.558221
63,500,0.217545,0.558221
64,500,0.214887,0.558221
65,500,0.174143,0.558221
66,500,0.208444,0.558221
67,500,0.199136,0.558221
68,500,0.215040,0.558221
69,500,0.193551,0.558221
70,500,0.209939,0.549370
71,500,0.242366,0.549370
72,500,0.213516,0.549370
73,500,0.207603,0.549370
74,500,0.189640,0.549370
75,500,0.203876,0.549370
76,500,0.196402,0.549370
77,500,0.212107,0.549370
78,500,0.200407,0.549370
79,500,0.203899,0.549370
80,500,0.227928,0.541894
81,500,0.255907,0.541894
82,500,0.219746,0.541894
83,500,0.235861,0.541894
84,500,0.202162,0.541894
85,500,0.213353,0.541894
86,500,0.226796,0.541894
87,500,0.160633,0.541894
88,500,0.195563,0.541894
89,500,0.192627,0.541894
90,500,0.251993,0.532606
91,500,0.239004,0.532606
92,500,0.234190,0.532606
93,500,0.231619,0.532606
94,500,0.203874,0.532606
95,500,0.215493,0.532606
96,500,0.201083,0.532606
97,500,0.211630,0.532606
98,500,0.245136,0.532606
99,500,0.222014,0.532606
