round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.450717,13.588027,0.468640,0.416090,0.077930,0.029620,0.009350,8.643789,0.103362,0.893441,0.106911
1,100000,0.484389,11.987820,0.438690,0.448940,0.089750,0.032460,0.015980,6.868604,0.130894,0.899059,0.154937
2,100000,0.522268,13.004147,0.408520,0.487390,0.101980,0.037670,0.020740,6.472073,0.164527,1.064829,0.181393
3,100000,0.539305,12.541799,0.393720,0.505520,0.107710,0.040600,0.022480,6.402459,0.178357,1.141923,0.195946
4,100000,0.543284,12.859015,0.387680,0.507810,0.110410,0.040470,0.024690,6.583278,0.183682,1.209231,0.200294
5,100000,0.548423,13.010365,0.385460,0.513200,0.110530,0.041390,0.025600,6.562972,0.186851,1.226301,0.206124
6,100000,0.554845,14.909675,0.380930,0.519660,0.114640,0.041510,0.028850,6.533812,0.194628,1.271660,0.217929
7,100000,0.567357,16.650833,0.369430,0.532420,0.120740,0.044080,0.032530,6.496881,0.208857,1.356920,0.230448
8,100000,0.567266,17.945847,0.370670,0.531280,0.120030,0.044350,0.032690,6.526137,0.210329,1.372635,0.235159
9,100000,0.573778,19.652986,0.365420,0.538050,0.122700,0.045580,0.035470,6.494772,0.218173,1.416986,0.242757
10,105000,0.569878,18.180588,0.369467,0.532848,0.122914,0.044800,0.032914,6.615007,0.212739,1.407268,0.248731
11,105000,0.584888,20.103270,0.355810,0.548705,0.129038,0.047467,0.038629,6.564551,0.228705,1.501346,0.258762
12,105000,0.593049,20.696589,0.349219,0.557114,0.131829,0.048952,0.042333,6.520929,0.237344,1.547700,0.269667
13,105000,0.597836,21.605440,0.345771,0.562495,0.135286,0.048990,0.044133,6.531475,0.242247,1.582227,0.276925
14,105000,0.604962,22.048078,0.340067,0.569467,0.136790,0.050057,0.045781,6.548176,0.249013,1.630584,0.285139
15,105000,0.611642,22.003668,0.333210,0.575343,0.141476,0.051838,0.047190,6.533914,0.256364,1.675058,0.293763
16,105000,0.618667,21.840881,0.328286,0.582419,0.145124,0.052010,0.049295,6.534727,0.262099,1.712747,0.303664
17,105000,0.625655,22.450407,0.322419,0.590600,0.147648,0.054371,0.052990,6.513648,0.269323,1.754277,0.312182
18,105000,0.630206,21.867105,0.318752,0.595714,0.148610,0.053571,0.053752,6.532288,0.272067,1.777223,0.318187
19,105000,0.635726,22.172600,0.312990,0.600381,0.150971,0.055200,0.055790,6.542056,0.277991,1.818630,0.326967
