round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.635047,0.539159,0.013207
2,235,0.644681,0.549447,0.012622
3,204,0.611275,0.526275,0.010986
4,193,0.657513,0.556373,0.010050
5,229,0.665502,0.586376,0.009046
6,183,0.664481,0.577268,0.009483
7,203,0.672906,0.596749,0.011429
8,200,0.698500,0.610300,0.009430
9,190,0.722632,0.634421,0.009392
10,223,0.708969,0.638296,0.008973
11,202,0.754455,0.677723,0.005832
12,201,0.709453,0.641194,0.008816
13,223,0.744395,0.672197,0.007492
14,203,0.786207,0.709557,0.005618
15,225,0.757333,0.697956,0.007190
16,234,0.735470,0.671709,0.009729
17,222,0.784234,0.716486,0.006779
18,219,0.788128,0.727215,0.009186
19,197,0.789848,0.735838,0.006087
