round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.102379,0.250686
1,20,0.135268,0.264024
2,30,0.165155,0.271850
3,40,0.181227,0.281022
4,50,0.186041,0.292059
5,60,0.188545,0.301033
6,70,0.194490,0.309480
7,80,0.202359,0.319575
8,90,0.211699,0.328151
9,100,0.215443,0.336952
10,110,0.208675,0.340060
11,120,0.224567,0.349247
12,130,0.228409,0.358870
13,140,0.239194,0.369394
14,150,0.245950,0.376081
15,160,0.247990,0.383589
16,170,0.254247,0.393355
17,180,0.263091,0.403809
18,190,0.272355,0.410952
19,200,0.271864,0.417854
