round,injected_impressions,injected_impressions_cum,distinct_injected_exposed_cum,share_of_round_impressions
0,0,0,0,0.000000
1,0,0,0,0.000000
2,0,0,0,0.000000
3,0,0,0,0.000000
4,0,0,0,0.000000
5,0,0,0,0.000000
6,0,0,0,0.000000
7,0,0,0,0.000000
8,0,0,0,0.000000
9,0,0,0,0.000000
10,58887,58887,1153,0.560829
11,6739,65626,1177,0.064181
12,4912,70538,1190,0.046781
13,4093,74631,1202,0.038981
14,4581,79212,1211,0.043629
15,3894,83106,1226,0.037086
16,3873,86979,1240,0.036886
17,3636,90615,1261,0.034629
18,3804,94419,1275,0.036229
19,3118,97537,1300,0.029695
