round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.451145,12.711413,0.467430,0.417700,0.077540,0.029380,0.009230,8.661008,0.102379,0.886709,0.102936
1,100000,0.489669,12.087778,0.435290,0.453390,0.092800,0.034360,0.016880,6.887052,0.135268,0.931598,0.160276
2,100000,0.524847,12.268264,0.407050,0.490270,0.102190,0.038200,0.020500,6.433764,0.165155,1.062565,0.183392
3,100000,0.541345,13.227885,0.392290,0.507160,0.107680,0.040860,0.023290,6.427975,0.181227,1.164923,0.195163
4,100000,0.547351,13.121738,0.387760,0.512290,0.111260,0.040870,0.024850,6.544074,0.186041,1.217469,0.200139
5,100000,0.548657,13.677104,0.385210,0.513500,0.111170,0.041070,0.025220,6.576351,0.188545,1.239936,0.205699
6,100000,0.554724,14.956637,0.381370,0.519920,0.115740,0.041160,0.027220,6.525711,0.194490,1.269188,0.216190
7,100000,0.560507,16.554055,0.376240,0.524630,0.117450,0.042610,0.029910,6.518055,0.202359,1.318988,0.226531
8,100000,0.569411,17.057044,0.366880,0.533790,0.119380,0.044120,0.032790,6.512537,0.211699,1.378698,0.234093
9,100000,0.571545,18.806952,0.366150,0.536140,0.120880,0.044210,0.033910,6.556947,0.215443,1.412648,0.238283
10,105000,0.566307,17.469703,0.372019,0.529305,0.121952,0.043800,0.031876,6.606267,0.208675,1.378560,0.243925
11,105000,0.580288,19.476384,0.359076,0.544162,0.126257,0.046610,0.037505,6.533508,0.224567,1.467212,0.252351
12,105000,0.585130,19.414212,0.355362,0.549810,0.126438,0.046914,0.040067,6.528633,0.228409,1.491198,0.257140
13,105000,0.596260,20.233851,0.346238,0.560619,0.133248,0.047952,0.042895,6.548176,0.239194,1.566287,0.273938
14,105000,0.601626,21.524661,0.342067,0.565962,0.134571,0.050362,0.044695,6.541648,0.245950,1.608920,0.282010
15,105000,0.603820,21.620794,0.339895,0.567505,0.136448,0.051467,0.045695,6.558401,0.247990,1.626416,0.283138
16,105000,0.609766,22.485544,0.334990,0.573029,0.139495,0.051238,0.047276,6.549810,0.254247,1.665267,0.291021
17,105000,0.620257,21.653035,0.326286,0.584571,0.144105,0.052676,0.050133,6.527415,0.263091,1.717307,0.306578
18,105000,0.629597,22.505113,0.319762,0.593676,0.148495,0.054886,0.053048,6.539204,0.272355,1.780987,0.315759
19,105000,0.629371,22.387094,0.319857,0.594638,0.149181,0.054105,0.054514,6.498329,0.271864,1.766664,0.318445
