round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.564486,0.500467,0.017216
2,235,0.564681,0.509617,0.012139
3,204,0.614706,0.537843,0.012744
4,193,0.675648,0.576684,0.009830
5,229,0.689083,0.596507,0.009242
6,183,0.658470,0.584809,0.011247
7,203,0.666502,0.599507,0.009943
8,200,0.690500,0.607700,0.011431
9,190,0.705263,0.636105,0.010512
10,223,0.753363,0.663498,0.006131
11,202,0.722772,0.647624,0.007655
12,201,0.690050,0.628955,0.010422
13,223,0.751121,0.675247,0.007291
14,203,0.756650,0.685025,0.007398
15,225,0.752000,0.685422,0.008564
16,234,0.734615,0.664188,0.009543
17,222,0.798198,0.738018,0.006007
18,219,0.812329,0.751142,0.005081
19,197,0.773604,0.721624,0.007806
